wavelength_nm	ideal_target_transmittance	cvae_target_transmittance	tandem_response_transmittance
4.2086865234e+02	9.8668631565e-01	8.0495870113e-01	8.0024206638e-01
4.2128836060e+02	9.8660051180e-01	8.0577284098e-01	8.0122935772e-01
4.2170806885e+02	9.8651387959e-01	8.0672562122e-01	8.0204296112e-01
4.2212777710e+02	9.8642640838e-01	8.0810105801e-01	8.0352729559e-01
4.2254748535e+02	9.8633808734e-01	8.0645889044e-01	8.0543214083e-01
4.2296719360e+02	9.8624890548e-01	8.1109529734e-01	8.0612337589e-01
4.2338690186e+02	9.8615885164e-01	8.1051599979e-01	8.0682384968e-01
4.2380661011e+02	9.8606791447e-01	8.1092172861e-01	8.0711233616e-01
4.2422631836e+02	9.8597608242e-01	8.1481546164e-01	8.0863809586e-01
4.2464602661e+02	9.8588334378e-01	8.1367558241e-01	8.1003004313e-01
4.2506573486e+02	9.8578968663e-01	8.1434768438e-01	8.1291079521e-01
4.2548544312e+02	9.8569509887e-01	8.1522667408e-01	8.1368094683e-01
4.2590515137e+02	9.8559956818e-01	8.1668710709e-01	8.1485491991e-01
4.2632485962e+02	9.8550308205e-01	8.1852871180e-01	8.1535518169e-01
4.2674456787e+02	9.8540562776e-01	8.2074445486e-01	8.1674569845e-01
4.2716427612e+02	9.8530719238e-01	8.2102274895e-01	8.1863588095e-01
4.2758398438e+02	9.8520776277e-01	8.2224506140e-01	8.1989592314e-01
4.2800369263e+02	9.8510732556e-01	8.2042020559e-01	8.2111501694e-01
4.2842340088e+02	9.8500586716e-01	8.2390755415e-01	8.2330489159e-01
4.2884310913e+02	9.8490337375e-01	8.2547593117e-01	8.2490384579e-01
4.2926281738e+02	9.8479983127e-01	8.2678836584e-01	8.2590949535e-01
4.2968252563e+02	9.8469522545e-01	8.2895356417e-01	8.2713943720e-01
4.3010223389e+02	9.8458954174e-01	8.2930940390e-01	8.2822883129e-01
4.3052194214e+02	9.8448276537e-01	8.3542084694e-01	8.2968056202e-01
4.3094165039e+02	9.8437488131e-01	8.3213430643e-01	8.3063590527e-01
4.3136138916e+02	9.8426586628e-01	8.3742547035e-01	8.3201110363e-01
4.3178109741e+02	9.8415572060e-01	8.3501762152e-01	8.3352041245e-01
4.3220080566e+02	9.8404442054e-01	8.3789128065e-01	8.3488708735e-01
4.3262051392e+02	9.8393195003e-01	8.3800888062e-01	8.3525109291e-01
4.3304022217e+02	9.8381829267e-01	8.4114956856e-01	8.3759605885e-01
4.3345993042e+02	9.8370343180e-01	8.4441417456e-01	8.3785420656e-01
4.3387963867e+02	9.8358735047e-01	8.4447097778e-01	8.3842849731e-01
4.3429934692e+02	9.8347003143e-01	8.4590864182e-01	8.4065860510e-01
4.3471905518e+02	9.8335145711e-01	8.4677201509e-01	8.4066236019e-01
4.3513876343e+02	9.8323160965e-01	8.4923666716e-01	8.4236788750e-01
4.3555847168e+02	9.8311047087e-01	8.5048913956e-01	8.4375166893e-01
4.3597817993e+02	9.8298802226e-01	8.5371500254e-01	8.4516328573e-01
4.3639788818e+02	9.8286424497e-01	8.5314095020e-01	8.4671980143e-01
4.3681759644e+02	9.8273911983e-01	8.5544043779e-01	8.4734749794e-01
4.3723730469e+02	9.8261262732e-01	8.5834717751e-01	8.4861278534e-01
