wavelength_nm	ideal_target_transmittance	cvae_target_transmittance	tandem_response_transmittance
4.5738336009e+02	9.1059011221e-01	8.3781296015e-01	8.9597815275e-01
4.5780306953e+02	9.1159158945e-01	8.3650839329e-01	8.9745032787e-01
4.5822277897e+02	9.1256868839e-01	8.3589613438e-01	8.9907151461e-01
4.5864248841e+02	9.1352200508e-01	8.3439409733e-01	9.0044784546e-01
4.5906219785e+02	9.1445213556e-01	8.3269417286e-01	9.0145617723e-01
4.5948190729e+02	9.1535967588e-01	8.3111804724e-01	9.0318393707e-01
4.5990161674e+02	9.1624522209e-01	8.2950234413e-01	9.0507304668e-01
4.6032132618e+02	9.1710931063e-01	8.2785904408e-01	9.0523940325e-01
4.6074103562e+02	9.1795247793e-01	8.2610952854e-01	9.0689587593e-01
4.6116074506e+02	9.1877514124e-01	8.2359206676e-01	9.0831577778e-01
4.6158045450e+02	9.1957789660e-01	8.2251125574e-01	9.0902155638e-01
4.6200016394e+02	9.2036122084e-01	8.2151675224e-01	9.0997260809e-01
4.6241987338e+02	9.2112553120e-01	8.2052743435e-01	9.1131657362e-01
4.6283958282e+02	9.2187124491e-01	8.1967598200e-01	9.1230022907e-01
4.6325929227e+02	9.2259883881e-01	8.1760805845e-01	9.1268736124e-01
4.6367900171e+02	9.2330873013e-01	8.1746566296e-01	9.1369020939e-01
4.6409871115e+02	9.2400133610e-01	8.1565487385e-01	9.1447341442e-01
4.6451842059e+02	9.2467695475e-01	8.1585103273e-01	9.1501152515e-01
4.6493813003e+02	9.2533612251e-01	8.1501019001e-01	9.1522097588e-01
4.6535783947e+02	9.2597901821e-01	8.1445342302e-01	9.1549265385e-01
4.6577754891e+02	9.2660617828e-01	8.1424635649e-01	9.1607475281e-01
4.6619725835e+02	9.2721778154e-01	8.1317257881e-01	9.1597092152e-01
4.6661696780e+02	9.2781424522e-01	8.1257039309e-01	9.1613805294e-01
4.6703667724e+02	9.2839592695e-01	8.1245565414e-01	9.1616678238e-01
4.6745638668e+02	9.2896300554e-01	8.1208002567e-01	9.1698306799e-01
4.6787609612e+02	9.2951589823e-01	8.1203544140e-01	9.1619700193e-01
4.6829580556e+02	9.3005484343e-01	8.1146836281e-01	9.1646647453e-01
4.6871551500e+02	9.3058013916e-01	8.1183719635e-01	9.1635543108e-01
4.6913522444e+02	9.3109202385e-01	8.1097596884e-01	9.1651892662e-01
4.6955493388e+02	9.3159079552e-01	8.1086736917e-01	9.1615527868e-01
4.6997464332e+02	9.3207669258e-01	8.0999171734e-01	9.1639894247e-01
4.7039435277e+02	9.3254995346e-01	8.0976569653e-01	9.1660320759e-01
4.7081406221e+02	9.3301087618e-01	8.1022852659e-01	9.1650629044e-01
4.7123377165e+02	9.3345957994e-01	8.0936521292e-01	9.1707140207e-01
4.7165348109e+02	9.3389630318e-01	8.0892044306e-01	9.1714560986e-01
4.7207319053e+02	9.3432134390e-01	8.0910778046e-01	9.1696482897e-01
4.7249289997e+02	9.3473488092e-01	8.1140667200e-01	9.2110466957e-01
4.7291260941e+02	9.3513709307e-01	8.1446403265e-01	9.2070484161e-01
4.7333231885e+02	9.3552809954e-01	8.1362533569e-01	9.2166459560e-01
4.7375202830e+02	9.3590825796e-01	8.1318479776e-01	9.2246228456e-01
4.7417173774e+02	9.3627762794e-01	8.1343120337e-01	9.2215472460e-01
4.7459144718e+02	9.3663638830e-01	8.1149411201e-01	9.2010849714e-01
4.7501115662e+02	9.3698471785e-01	8.1079357862e-01	9.2084473372e-01
4.7543086606e+02	9.3732285500e-01	8.1138885021e-01	9.2043721676e-01
4.7585057550e+02	9.3765085936e-01	8.0956339836e-01	9.2027825117e-01
4.7627028494e+02	9.3796890974e-01	8.1030952930e-01	9.2011284828e-01
4.7668999438e+02	9.3827712536e-01	8.0949187279e-01	9.2025738955e-01
4.7710970383e+02	9.3857574463e-01	8.1008094549e-01	9.1891521215e-01
4.7752941327e+02	9.3886476755e-01	8.1062543392e-01	9.1909998655e-01
4.7794912271e+02	9.3914443254e-01	8.0961960554e-01	9.1825807095e-01
4.7836883215e+02	9.3941485882e-01	8.0959039927e-01	9.1883558035e-01
4.7878854159e+02	9.3967610598e-01	8.0879276991e-01	9.1827887297e-01
4.7920825103e+02	9.3992829323e-01	8.0844777822e-01	9.1805475950e-01
4.7962796047e+02	9.4017159939e-01	8.0759966373e-01	9.1732752323e-01
4.8004766991e+02	9.4040608406e-01	8.0757284164e-01	9.1715961695e-01
4.8046737935e+02	9.4063186646e-01	8.0779480934e-01	9.1693860292e-01
4.8088708880e+02	9.4084906578e-01	8.0748134851e-01	9.1617679596e-01
4.8130679824e+02	9.4105768204e-01	8.0689561367e-01	9.1621547937e-01
4.8172650768e+02	9.4125795364e-01	8.0738663673e-01	9.1572970152e-01
4.8214621712e+02	9.4144982100e-01	8.0732589960e-01	9.1526043415e-01
4.8256592656e+02	9.4163346291e-01	8.0746454000e-01	9.1485995054e-01
4.8298563600e+02	9.4180893898e-01	8.0700927973e-01	9.1452491283e-01
4.8340534544e+02	9.4197630882e-01	8.0704987049e-01	9.1435867548e-01
4.8382505488e+02	9.4213563204e-01	8.0711042881e-01	9.1330063343e-01
4.8424476433e+02	9.4228696823e-01	8.0670452118e-01	9.1371923685e-01
4.8466447377e+02	9.4243043661e-01	8.0693912506e-01	9.1359728575e-01
4.8508418321e+02	9.4256609678e-01	8.0674785376e-01	9.1335761547e-01
4.8550389265e+02	9.4269394875e-01	8.0814927816e-01	9.1293281317e-01
4.8592360209e+02	9.4281411171e-01	8.0738180876e-01	9.1217374802e-01
4.8634331153e+02	9.4292658567e-01	8.0886644125e-01	9.1243517399e-01
4.8676302097e+02	9.4303137064e-01	8.0994856358e-01	9.1159462929e-01
4.8718273041e+02	9.4312864542e-01	8.0937737226e-01	9.1090720892e-01
4.8760243986e+02	9.4321835041e-01	8.0845040083e-01	9.1125530005e-01
4.8802214930e+02	9.4330054522e-01	8.0660599470e-01	9.1108298302e-01
4.8844185874e+02	9.4337528944e-01	8.1500804424e-01	9.0907287598e-01
4.8886156818e+02	9.4344258308e-01	8.1162345409e-01	9.0912783146e-01
4.8928127762e+02	9.4350248575e-01	8.1113284826e-01	9.0891605616e-01
4.8970098706e+02	9.4355499744e-01	8.1106066704e-01	9.0853637457e-01
4.9012069650e+02	9.4360011816e-01	8.1161487103e-01	9.0815412998e-01
4.9054040594e+02	9.4363790751e-01	8.1226062775e-01	9.0794330835e-01
4.9096011538e+02	9.4366836548e-01	8.1170362234e-01	9.0764123201e-01
4.9137982483e+02	9.4369149208e-01	8.1108164787e-01	9.0696507692e-01
4.9179953427e+02	9.4370734692e-01	8.1217050552e-01	9.0666002035e-01
4.9221924371e+02	9.4371587038e-01	8.1105673313e-01	9.0596479177e-01
4.9263895315e+02	9.4371706247e-01	8.1216651201e-01	9.0636134148e-01
4.9305866259e+02	9.4371104240e-01	8.1186467409e-01	9.0528595448e-01
4.9347837203e+02	9.4369769096e-01	8.1144732237e-01	9.0487748384e-01
4.9389808147e+02	9.4367700815e-01	8.1087195873e-01	9.0469783545e-01
4.9431779091e+02	9.4364899397e-01	8.1145608425e-01	9.0426033735e-01
4.9473750036e+02	9.4361370802e-01	8.1116324663e-01	9.0385228395e-01
4.9515720980e+02	9.4357103109e-01	8.1085091829e-01	9.0340840816e-01
4.9557691924e+02	9.4352102280e-01	8.1053000689e-01	9.0367197990e-01
4.9599662868e+02	9.4346362352e-01	8.0993312597e-01	9.0279114246e-01
4.9641633812e+02	9.4339889288e-01	8.0914419889e-01	9.0191966295e-01
4.9683604756e+02	9.4332665205e-01	8.0951476097e-01	9.0144991875e-01
4.9725575700e+02	9.4324696064e-01	8.0837208033e-01	9.0157032013e-01
4.9767546644e+02	9.4315981865e-01	8.0844420195e-01	9.0157365799e-01
4.9809517589e+02	9.4306510687e-01	8.0857133865e-01	9.0071088076e-01
4.9851488533e+02	9.4296282530e-01	8.0818217993e-01	8.9968883991e-01
4.9893459477e+02	9.4285297394e-01	8.0707925558e-01	8.9969831705e-01
4.9935430421e+02	9.4273543358e-01	8.0643123388e-01	8.9848804474e-01
4.9977401365e+02	9.4261014462e-01	8.0572706461e-01	8.9779049158e-01
5.0019372309e+02	9.4247716665e-01	8.0534762144e-01	8.9604228735e-01
5.0061343253e+02	9.4233632088e-01	8.0502402782e-01	8.9492058754e-01
5.0103314197e+02	9.4218766689e-01	8.0358850956e-01	8.9544534683e-01
5.0145285141e+02	9.4203102589e-01	8.0380868912e-01	8.9483284950e-01
5.0187256086e+02	9.4186639786e-01	8.0349266529e-01	8.9380550385e-01
5.0229227030e+02	9.4169366360e-01	8.0377930403e-01	8.9272999763e-01
5.0271197974e+02	9.4151276350e-01	8.0306339264e-01	8.9176249504e-01
5.0313168918e+02	9.4132369757e-01	8.0105721951e-01	8.9055597782e-01
5.0355139862e+02	9.4112628698e-01	8.0167829990e-01	8.8996100426e-01
5.0397110806e+02	9.4092047215e-01	8.0119943619e-01	8.8863062859e-01
5.0439081750e+02	9.4070619345e-01	8.0072689056e-01	8.8831478357e-01
5.0481052694e+02	9.4048333168e-01	8.0095940828e-01	8.8682103157e-01
5.0523023639e+02	9.4025182724e-01	7.9899811745e-01	8.8492214680e-01
5.0564994583e+02	9.4001150131e-01	7.9822105169e-01	8.8350927830e-01
5.0606965527e+02	9.3976229429e-01	7.9681658745e-01	8.8228583336e-01
5.0648936471e+02	9.3950414658e-01	7.9770898819e-01	8.8154399395e-01
5.0690907415e+02	9.3923681974e-01	7.9630804062e-01	8.8017082214e-01
5.0732878359e+02	9.3896031380e-01	7.9542237520e-01	8.7886017561e-01
5.0774849303e+02	9.3867444992e-01	7.9416054487e-01	8.7823569775e-01
5.0816820247e+02	9.3837910891e-01	7.9368501902e-01	8.7694555521e-01
5.0858791192e+02	9.3807411194e-01	7.9415684938e-01	8.7589752674e-01
5.0900762136e+02	9.3775939941e-01	7.9143619537e-01	8.7565916777e-01
5.0942733080e+02	9.3743479252e-01	7.9039400816e-01	8.7493115664e-01
5.0984704024e+02	9.3710011244e-01	7.9278296232e-01	8.7250292301e-01
5.1026674968e+02	9.3675523996e-01	7.9094725847e-01	8.7257951498e-01
