wavelength_nm	ideal_target_transmittance	tandem_response_transmittance
3.9400723447e+02	8.4828323126e-01	8.5008156300e-01
3.9442694391e+02	8.4530025721e-01	8.4946930408e-01
3.9484665335e+02	8.4223222733e-01	8.4945106506e-01
3.9526636279e+02	8.3907598257e-01	8.5041195154e-01
3.9568607223e+02	8.3582842350e-01	8.4962755442e-01
3.9610578167e+02	8.3248627186e-01	8.4994679689e-01
3.9652549111e+02	8.2904613018e-01	8.5012030602e-01
3.9694520056e+02	8.2550436258e-01	8.5067051649e-01
3.9736491000e+02	8.2185733318e-01	8.5108292103e-01
3.9778461944e+02	8.1810116768e-01	8.5100489855e-01
3.9820432888e+02	8.1423181295e-01	8.5130864382e-01
3.9862403832e+02	8.1024521589e-01	8.5151880980e-01
3.9904374776e+02	8.0613696575e-01	8.5229682922e-01
3.9946345720e+02	8.0190253258e-01	8.5249614716e-01
3.9988316664e+02	7.9753726721e-01	8.5254645348e-01
4.0030287609e+02	7.9303634167e-01	8.5280483961e-01
4.0072258553e+02	7.8839457035e-01	8.5235852003e-01
4.0114229497e+02	7.8360682726e-01	8.5270446539e-01
4.0156200441e+02	7.7866762877e-01	8.5213416815e-01
4.0198171385e+02	7.7357125282e-01	8.5166484118e-01
4.0240142329e+02	7.6831191778e-01	8.5120695829e-01
4.0282113273e+02	7.6288342476e-01	8.4974861145e-01
4.0324084217e+02	7.5727957487e-01	8.4868329763e-01
4.0366055162e+02	7.5149369240e-01	8.4720438719e-01
4.0408026106e+02	7.4551916122e-01	8.4520637989e-01
4.0449997050e+02	7.3934894800e-01	8.4341311455e-01
4.0491967994e+02	7.3297578096e-01	8.4012711048e-01
4.0533938938e+02	7.2639226913e-01	8.3580851555e-01
4.0575909882e+02	7.1959078312e-01	8.3200001717e-01
4.0617880826e+02	7.1256339550e-01	8.2783019543e-01
4.0659851770e+02	7.0530194044e-01	8.2240480185e-01
4.0701822714e+02	6.9779825211e-01	8.1739670038e-01
4.0743793659e+02	6.9004374743e-01	8.1218987703e-01
4.0785764603e+02	6.8202972412e-01	8.0516719818e-01
4.0827735547e+02	6.7374747992e-01	7.9786556959e-01
4.0869706491e+02	6.6518795490e-01	7.9029196501e-01
4.0911677435e+02	6.5634214878e-01	7.8148752451e-01
4.0953648379e+02	6.4720088243e-01	7.7190113068e-01
4.0995619323e+02	6.3775509596e-01	7.6099479198e-01
4.1037590267e+02	6.2799555063e-01	7.4962788820e-01
4.1079561212e+02	6.1791330576e-01	7.3802101612e-01
4.1121532156e+02	6.0749942064e-01	7.2522866726e-01
4.1163503100e+02	5.9674525261e-01	7.1101558208e-01
4.1205474044e+02	5.8564245701e-01	6.9659090042e-01
4.1247444988e+02	5.7418304682e-01	6.8175524473e-01
4.1289415932e+02	5.6235969067e-01	6.6499900818e-01
4.1331386876e+02	5.5016559362e-01	6.4818155766e-01
4.1373357820e+02	5.3759485483e-01	6.2995654345e-01
4.1415328765e+02	5.2464252710e-01	6.1101877689e-01
4.1457299709e+02	5.1130479574e-01	5.9174191952e-01
4.1499270653e+02	4.9757921696e-01	5.7110327482e-01
4.1541241597e+02	4.8346498609e-01	5.4931390285e-01
4.1583212541e+02	4.6896305680e-01	5.2869445086e-01
4.1625183485e+02	4.5407646894e-01	5.0616234541e-01
4.1667154429e+02	4.3881073594e-01	4.8572304845e-01
4.1709125373e+02	4.2317393422e-01	4.6244764328e-01
4.1751096317e+02	4.0717726946e-01	4.3990728259e-01
4.1793067262e+02	3.9083522558e-01	4.1680145264e-01
4.1835038206e+02	3.7416604161e-01	3.9379101992e-01
4.1877009150e+02	3.5719200969e-01	3.7061813474e-01
4.1918980094e+02	3.3993986249e-01	3.4776681662e-01
4.1960951038e+02	3.2244110107e-01	3.2470610738e-01
4.2002921982e+02	3.0473241210e-01	3.0337277055e-01
4.2044892926e+02	2.8685587645e-01	2.8048279881e-01
4.2086863870e+02	2.6885929704e-01	2.6168137789e-01
4.2128834815e+02	2.5079649687e-01	2.3988923430e-01
4.2170805759e+02	2.3272725940e-01	2.1934583783e-01
4.2212776703e+02	2.1471762657e-01	2.0018315315e-01
4.2254747647e+02	1.9683966041e-01	1.8187598884e-01
4.2296718591e+02	1.7917139828e-01	1.6502180696e-01
4.2338689535e+02	1.6179648042e-01	1.4831100404e-01
4.2380660479e+02	1.4480368793e-01	1.3270410895e-01
4.2422631423e+02	1.2828628719e-01	1.1852042377e-01
4.2464602368e+02	1.1234125495e-01	1.0576000065e-01
4.2506573312e+02	9.7068250179e-02	9.3901820481e-02
4.2548544256e+02	8.2568436861e-02	8.2849897444e-02
4.2590515200e+02	6.8943135440e-02	7.3094554245e-02
4.2632486144e+02	5.6292388588e-02	6.4046323299e-02
4.2674457088e+02	4.4713295996e-02	5.6312274188e-02
4.2716428032e+02	3.4298397601e-02	4.9306880683e-02
4.2758398976e+02	2.5133943185e-02	4.3073795736e-02
4.2800369920e+02	1.7298232764e-02	3.7983044982e-02
4.2842340865e+02	1.0860003531e-02	3.3498771489e-02
4.2884311809e+02	5.8769760653e-03	2.9999442399e-02
4.2926282753e+02	2.3945856374e-03	2.7671495453e-02
4.2968253697e+02	4.4495885959e-04	2.6790488511e-02
4.3010224641e+02	4.6173427108e-05	2.6032384485e-02
4.3052195585e+02	1.2018388370e-03	2.5803819299e-02
4.3094166529e+02	3.9010103792e-03	2.5974614546e-02
4.3136137473e+02	8.1184441224e-03	2.6087112725e-02
4.3178108418e+02	1.3815177605e-02	2.6601430029e-02
4.3220079362e+02	2.0939417183e-02	2.9040023685e-02
4.3262050306e+02	2.9427688569e-02	3.3657573164e-02
4.3304021250e+02	3.9206210524e-02	3.9691694081e-02
4.3345992194e+02	5.0192423165e-02	4.7318477184e-02
4.3387963138e+02	6.2296651304e-02	5.5673561990e-02
4.3429934082e+02	7.5423784554e-02	6.6762775183e-02
4.3471905026e+02	8.9474976063e-02	7.9154603183e-02
4.3513875971e+02	1.0434928536e-01	9.4613082707e-02
4.3555846915e+02	1.1994522065e-01	1.0867083818e-01
4.3597817859e+02	1.3616214693e-01	1.2950974703e-01
4.3639788803e+02	1.5290157497e-01	1.5046814084e-01
4.3681759747e+02	1.7006820440e-01	1.7206275463e-01
4.3723730691e+02	1.8757086992e-01	1.9562993944e-01
4.3765701635e+02	2.0532323420e-01	2.1859136224e-01
4.3807672579e+02	2.2324442863e-01	2.4244324863e-01
4.3849643523e+02	2.4125930667e-01	2.6560521126e-01
4.3891614468e+02	2.5929880142e-01	2.8872832656e-01
4.3933585412e+02	2.7730000019e-01	3.1112429500e-01
4.3975556356e+02	2.9520609975e-01	3.3346450329e-01
4.4017527300e+02	3.1296631694e-01	3.5417065024e-01
4.4059498244e+02	3.3053573966e-01	3.7478074431e-01
4.4101469188e+02	3.4787502885e-01	3.9427942038e-01
4.4143440132e+02	3.6495018005e-01	4.1293448210e-01
4.4185411076e+02	3.8173213601e-01	4.3209844828e-01
4.4227382021e+02	3.9819642901e-01	4.4985210896e-01
4.4269352965e+02	4.1432288289e-01	4.6843838692e-01
4.4311323909e+02	4.3009519577e-01	4.8569414020e-01
4.4353294853e+02	4.4550064206e-01	5.0233203173e-01
4.4395265797e+02	4.6052962542e-01	5.1662898064e-01
4.4437236741e+02	4.7517544031e-01	5.4088634253e-01
4.4479207685e+02	4.8943388462e-01	5.4649996758e-01
4.4521178629e+02	5.0330299139e-01	5.6188583374e-01
4.4563149574e+02	5.1678282022e-01	5.8847463131e-01
4.4605120518e+02	5.2987504005e-01	6.0098463297e-01
4.4647091462e+02	5.4258280993e-01	6.0986131430e-01
4.4689062406e+02	5.5491054058e-01	6.2403070927e-01
4.4731033350e+02	5.6686383486e-01	6.3973349333e-01
4.4773004294e+02	5.7844901085e-01	6.5320402384e-01
4.4814975238e+02	5.8967316151e-01	6.6709947586e-01
4.4856946182e+02	6.0054403543e-01	6.8011224270e-01
4.4898917126e+02	6.1106985807e-01	6.9154655933e-01
4.4940888071e+02	6.2125903368e-01	7.0517218113e-01
4.4982859015e+02	6.3112056255e-01	7.1756744385e-01
4.5024829959e+02	6.4066326618e-01	7.2919255495e-01
4.5066800903e+02	6.4989638329e-01	7.4081248045e-01
4.5108771847e+02	6.5882903337e-01	7.5119560957e-01
4.5150742791e+02	6.6747033596e-01	7.6222157478e-01
4.5192713735e+02	6.7582952976e-01	7.7053683996e-01
4.5234684679e+02	6.8391549587e-01	7.7920842171e-01
4.5276655624e+02	6.9173723459e-01	7.8741872311e-01
4.5318626568e+02	6.9930350780e-01	7.9530668259e-01
4.5360597512e+02	7.0662283897e-01	8.0245149136e-01
4.5402568456e+02	7.1370369196e-01	8.0878365040e-01
4.5444539400e+02	7.2055429220e-01	8.1388801336e-01
4.5486510344e+02	7.2718262672e-01	8.1941407919e-01
