wavelength_nm	final_network_transmittance	cst_average_transmittance
4.4856946182e+02	3.3167213202e-02	8.8655413586e-02
4.4898917126e+02	3.3007241786e-02	8.0955305473e-02
4.4940888071e+02	3.3503655344e-02	7.3733584862e-02
4.4982859015e+02	3.4439448267e-02	6.6998400838e-02
4.5024829959e+02	3.6989405751e-02	6.0799964508e-02
4.5066800903e+02	4.0447175503e-02	5.5147795856e-02
4.5108771847e+02	4.5329246670e-02	5.0042544246e-02
4.5150742791e+02	5.2022054791e-02	4.3832216347e-02
4.5192713735e+02	6.0007438064e-02	3.7506505479e-02
4.5234684679e+02	7.1451000869e-02	3.5919511577e-02
4.5276655624e+02	8.3818070590e-02	3.3664885003e-02
4.5318626568e+02	9.9632084370e-02	3.1795639975e-02
4.5360597512e+02	1.1824604124e-01	3.0595704295e-02
4.5402568456e+02	1.3737815619e-01	3.0244140391e-02
4.5444539400e+02	1.6103191674e-01	3.0810775185e-02
4.5486510344e+02	1.8534840643e-01	3.2533135136e-02
4.5528481288e+02	2.1020434797e-01	3.5423094453e-02
4.5570452232e+02	2.3788318038e-01	3.9867973278e-02
4.5612423177e+02	2.6440688968e-01	4.5777779677e-02
4.5654394121e+02	2.9090681672e-01	5.3728566907e-02
4.5696365065e+02	3.1687179208e-01	6.3528570339e-02
4.5738336009e+02	3.4246990085e-01	7.5706865771e-02
4.5780306953e+02	3.6674052477e-01	9.0120448997e-02
4.5822277897e+02	3.9034616947e-01	1.0701453932e-01
4.5864248841e+02	4.1149336100e-01	1.2629664581e-01
4.5906219785e+02	4.3209803104e-01	1.4777937271e-01
4.5948190729e+02	4.5261377096e-01	1.7139541749e-01
4.5990161674e+02	4.7192785144e-01	1.9657326366e-01
4.6032132618e+02	4.9075391889e-01	2.2320279815e-01
4.6074103562e+02	5.0755298138e-01	2.5061736447e-01
4.6116074506e+02	5.2392280102e-01	2.7848168406e-01
4.6158045450e+02	5.3814280033e-01	3.0634405261e-01
4.6200016394e+02	5.5277270079e-01	3.3382326672e-01
4.6241987338e+02	5.6721609831e-01	3.6056084557e-01
4.6283958282e+02	5.7946246862e-01	3.8641683500e-01
4.6325929227e+02	5.8997392654e-01	4.1098398000e-01
4.6367900171e+02	6.0265988111e-01	4.3439462186e-01
4.6409871115e+02	6.1430233717e-01	4.5645202845e-01
4.6451842059e+02	6.2738484144e-01	4.7720140143e-01
4.6493813003e+02	6.3702958822e-01	4.9675556692e-01
4.6535783947e+02	6.4842557907e-01	5.1499110266e-01
4.6577754891e+02	6.6040593386e-01	5.3219368257e-01
4.6619725835e+02	6.6872859001e-01	5.4830187597e-01
4.6661696780e+02	6.7877244949e-01	5.6345647046e-01
4.6703667724e+02	6.8837028742e-01	5.7777933749e-01
4.6745638668e+02	6.9814795256e-01	5.9121344619e-01
4.6787609612e+02	7.0639562607e-01	6.0396805968e-01
4.6829580556e+02	7.1385627985e-01	6.1602476312e-01
4.6871551500e+02	7.2241342068e-01	6.2744933728e-01
4.6913522444e+02	7.2977453470e-01	6.3834337100e-01
4.6955493388e+02	7.3629367352e-01	6.4865071720e-01
4.6997464332e+02	7.4277245998e-01	6.5849764105e-01
4.7039435277e+02	7.4896544218e-01	6.6789821079e-01
4.7081406221e+02	7.5434380770e-01	6.7684237827e-01
4.7123377165e+02	7.6012128592e-01	6.8541760207e-01
4.7165348109e+02	7.6353603601e-01	6.9360500172e-01
4.7207319053e+02	7.6900255680e-01	7.0143424121e-01
4.7249289997e+02	7.7287000418e-01	7.0895316487e-01
4.7291260941e+02	7.7650082111e-01	7.1612843065e-01
4.7333231885e+02	7.8125101328e-01	7.2301110127e-01
4.7375202830e+02	7.8610521555e-01	7.2962433335e-01
4.7417173774e+02	7.8817230463e-01	7.3592645132e-01
4.7459144718e+02	7.9160290956e-01	7.4197920638e-01
4.7501115662e+02	7.9658854008e-01	7.4778472824e-01
4.7543086606e+02	7.9872518778e-01	7.5331461032e-01
4.7585057550e+02	8.0366617441e-01	7.5861738410e-01
4.7627028494e+02	8.0476659536e-01	7.6368934240e-01
4.7668999438e+02	8.0744421482e-01	7.6850987918e-01
4.7710970383e+02	8.1061321497e-01	7.7311881123e-01
4.7752941327e+02	8.1095486879e-01	7.7751126612e-01
4.7794912271e+02	8.1417369843e-01	7.8166909328e-01
4.7836883215e+02	8.1529384851e-01	7.8562828188e-01
4.7878854159e+02	8.1839960814e-01	7.8938621047e-01
4.7920825103e+02	8.1993883848e-01	7.9292305147e-01
4.7962796047e+02	8.2094627619e-01	7.9627453067e-01
4.8004766991e+02	8.2217925787e-01	7.9944301431e-01
4.8046737935e+02	8.2280921936e-01	8.0240373548e-01
4.8088708880e+02	8.2354104519e-01	8.0519450687e-01
4.8130679824e+02	8.2294458151e-01	8.0782048167e-01
4.8172650768e+02	8.2376092672e-01	8.1026148852e-01
4.8214621712e+02	8.2394927740e-01	8.1254680038e-01
4.8256592656e+02	8.2488280535e-01	8.1468627122e-01
4.8298563600e+02	8.2475495338e-01	8.1667079546e-01
4.8340534544e+02	8.2515203953e-01	8.1851375864e-01
4.8382505488e+02	8.2420998812e-01	8.2023182334e-01
4.8424476433e+02	8.2623296976e-01	8.2182606216e-01
4.8466447377e+02	8.2595616579e-01	8.2329456847e-01
4.8508418321e+02	8.2643622160e-01	8.2465979732e-01
4.8550389265e+02	8.2569175959e-01	8.2592817679e-01
4.8592360209e+02	8.2703578472e-01	8.2709328634e-01
4.8634331153e+02	8.2745075226e-01	8.2817322822e-01
4.8676302097e+02	8.2834756374e-01	8.2917670905e-01
4.8718273041e+02	8.2995128632e-01	8.3010594396e-01
4.8760243986e+02	8.3153384924e-01	8.3096302320e-01
4.8802214930e+02	8.3197462559e-01	8.3176175958e-01
4.8844185874e+02	8.3164072037e-01	8.3250706747e-01
4.8886156818e+02	8.3299726248e-01	8.3319830828e-01
4.8928127762e+02	8.3326673508e-01	8.3384365736e-01
4.8970098706e+02	8.3406019211e-01	8.3444977147e-01
4.9012069650e+02	8.3372664452e-01	8.3502030685e-01
4.9054040594e+02	8.3468925953e-01	8.3555389755e-01
4.9096011538e+02	8.3488184214e-01	8.3605887774e-01
4.9137982483e+02	8.3515787125e-01	8.3653823690e-01
4.9179953427e+02	8.3621770144e-01	8.3699406288e-01
4.9221924371e+02	8.3655256033e-01	8.3742589813e-01
4.9263895315e+02	8.3615881205e-01	8.3783899506e-01
4.9305866259e+02	8.3719855547e-01	8.3823487714e-01
4.9347837203e+02	8.3698534966e-01	8.3861456789e-01
4.9389808147e+02	8.3584779501e-01	8.3897733709e-01
4.9431779091e+02	8.3673399687e-01	8.3932624431e-01
4.9473750036e+02	8.3719271421e-01	8.3966183523e-01
4.9515720980e+02	8.3551150560e-01	8.3998445794e-01
4.9557691924e+02	8.3693516254e-01	8.4029224233e-01
4.9599662868e+02	8.3687412739e-01	8.4058711849e-01
4.9641633812e+02	8.3750671148e-01	8.4086887024e-01
4.9683604756e+02	8.3577895164e-01	8.4113708639e-01
4.9725575700e+02	8.3576494455e-01	8.4138956511e-01
4.9767546644e+02	8.3729922771e-01	8.4162635621e-01
4.9809517589e+02	8.3728921413e-01	8.4184722540e-01
4.9851488533e+02	8.3563423157e-01	8.4205114509e-01
4.9893459477e+02	8.3718645573e-01	8.4223621225e-01
4.9935430421e+02	8.3761125803e-01	8.4239944766e-01
4.9977401365e+02	8.3686631918e-01	8.4254152453e-01
5.0019372309e+02	8.3577096462e-01	8.4266089828e-01
5.0061343253e+02	8.3634400368e-01	8.4275591412e-01
5.0103314197e+02	8.3535289764e-01	8.4282229096e-01
5.0145285141e+02	8.3565700054e-01	8.4285865111e-01
5.0187256086e+02	8.3551645279e-01	8.4286453181e-01
5.0229227030e+02	8.3510726690e-01	8.4283782350e-01
5.0271197974e+02	8.3514249325e-01	8.4277631332e-01
5.0313168918e+02	8.3569329977e-01	8.4267347720e-01
5.0355139862e+02	8.3495759964e-01	8.4252912572e-01
5.0397110806e+02	8.3520537615e-01	8.4234208311e-01
5.0439081750e+02	8.3435958624e-01	8.4210968958e-01
5.0481052694e+02	8.3417057991e-01	8.4182917989e-01
5.0523023639e+02	8.3421456814e-01	8.4149297837e-01
5.0564994583e+02	8.3328628540e-01	8.4109949849e-01
5.0606965527e+02	8.3451396227e-01	8.4064825346e-01
5.0648936471e+02	8.3354395628e-01	8.4013604508e-01
5.0690907415e+02	8.3279752731e-01	8.3955959128e-01
5.0732878359e+02	8.3325070143e-01	8.3891334572e-01
5.0774849303e+02	8.3306783438e-01	8.3818844231e-01
5.0816820247e+02	8.3140832186e-01	8.3738846217e-01
5.0858791192e+02	8.3226358891e-01	8.3651014699e-01
5.0900762136e+02	8.3192563057e-01	8.3555045835e-01
5.0942733080e+02	8.3144003153e-01	8.3450675364e-01
5.0984704024e+02	8.3200210333e-01	8.3337158719e-01
5.1026674968e+02	8.3197999001e-01	8.3214414983e-01
5.1068645912e+02	8.3194369078e-01	8.3083123002e-01
5.1110616856e+02	8.3124279976e-01	8.2943683159e-01
5.1152587800e+02	8.2959496975e-01	8.2796868977e-01
5.1194558744e+02	8.2987457514e-01	8.2643933080e-01
5.1236529689e+02	8.3042263985e-01	8.2486575409e-01
5.1278500633e+02	8.2924014330e-01	8.2327243309e-01
5.1320471577e+02	8.2778489590e-01	8.2168116126e-01
5.1362442521e+02	8.2580679655e-01	8.2009473079e-01
5.1404413465e+02	8.2465416193e-01	8.1848548475e-01
5.1446384409e+02	8.2231926918e-01	8.1678859564e-01
5.1488355353e+02	8.2039886713e-01	8.1491413550e-01
5.1530326297e+02	8.2097220421e-01	8.1275028775e-01
5.1572297242e+02	8.1720906496e-01	8.1025811235e-01
5.1614268186e+02	8.1611722708e-01	8.0744106773e-01
5.1656239130e+02	8.1342506409e-01	8.0431776440e-01
5.1698210074e+02	8.0999076366e-01	8.0091413357e-01
5.1740181018e+02	8.0630522966e-01	7.9725318150e-01
5.1782151962e+02	8.0491274595e-01	7.9335094047e-01
5.1824122906e+02	8.0076909065e-01	7.8920476319e-01
5.1866093850e+02	7.9618227482e-01	7.8481648077e-01
5.1908064795e+02	7.9367423058e-01	7.8019624250e-01
5.1950035739e+02	7.9005366564e-01	7.7533897101e-01
5.1992006683e+02	7.8533947468e-01	7.7023776499e-01
