wavelength_nm	ideal_target_transmittance	cvae_target_transmittance	tandem_response_transmittance
4.4227383423e+02	7.9899924994e-01	8.1250089407e-01	7.9063338041e-01
4.4269354248e+02	8.0241686106e-01	8.1287205219e-01	7.8821879625e-01
4.4311325073e+02	8.0572348833e-01	8.1291681528e-01	7.8651553392e-01
4.4353295898e+02	8.0892276764e-01	8.1212097406e-01	7.8492689133e-01
4.4395266724e+02	8.1201833487e-01	8.1229597330e-01	7.8391903639e-01
4.4437237549e+02	8.1501358747e-01	8.1125640869e-01	7.8406089544e-01
4.4479208374e+02	8.1791186333e-01	8.1104856730e-01	7.8194570541e-01
4.4521179199e+02	8.2071632147e-01	8.1049257517e-01	7.8079849482e-01
4.4563150024e+02	8.2342994213e-01	8.0986940861e-01	7.8013598919e-01
4.4605120850e+02	8.2605576515e-01	8.0966359377e-01	7.8049254417e-01
4.4647091675e+02	8.2859653234e-01	8.0933886766e-01	7.7874928713e-01
4.4689062500e+02	8.3105486631e-01	8.0883407593e-01	7.8009796143e-01
4.4731033325e+02	8.3343338966e-01	8.0776727200e-01	7.7846866846e-01
4.4773004150e+02	8.3573460579e-01	8.0674344301e-01	7.7474677563e-01
4.4814974976e+02	8.3796083927e-01	8.0654013157e-01	7.7888619900e-01
4.4856945801e+02	8.4011441469e-01	8.0594503880e-01	7.7975636721e-01
4.4898916626e+02	8.4219741821e-01	8.0482429266e-01	7.7797985077e-01
4.4940887451e+02	8.4421199560e-01	8.0422163010e-01	7.7781993151e-01
4.4982858276e+02	8.4616017342e-01	8.0326884985e-01	7.7913993597e-01
4.5024829102e+02	8.4804385900e-01	8.0267971754e-01	7.7633219957e-01
4.5066799927e+02	8.4986484051e-01	8.0180907249e-01	7.7816176414e-01
4.5108770752e+02	8.5162496567e-01	8.0077528954e-01	7.7754920721e-01
4.5150741577e+02	8.5332590342e-01	7.9929900169e-01	7.7628427744e-01
4.5192712402e+02	8.5496920347e-01	8.0089515448e-01	7.7668166161e-01
4.5234683228e+02	8.5655653477e-01	8.0135285854e-01	7.7718049288e-01
4.5276657104e+02	8.5808938742e-01	8.0167371035e-01	7.7628606558e-01
4.5318627930e+02	8.5956907272e-01	8.0181080103e-01	7.7792686224e-01
4.5360598755e+02	8.6099702120e-01	8.0218499899e-01	7.7856630087e-01
4.5402569580e+02	8.6237448454e-01	8.0193114281e-01	7.7811098099e-01
4.5444540405e+02	8.6370277405e-01	8.0143117905e-01	7.7647721767e-01
4.5486511230e+02	8.6498314142e-01	8.0224257708e-01	7.7600300312e-01
4.5528482056e+02	8.6621665955e-01	8.0107957125e-01	7.7603769302e-01
4.5570452881e+02	8.6740440130e-01	8.0133497715e-01	7.7342987061e-01
4.5612423706e+02	8.6854749918e-01	8.0100435019e-01	7.7444624901e-01
4.5654394531e+02	8.6964690685e-01	8.0049169064e-01	7.7452820539e-01
4.5696365356e+02	8.7070357800e-01	8.0034905672e-01	7.7425366640e-01
4.5738336182e+02	8.7171846628e-01	7.9968333244e-01	7.7339982986e-01
4.5780307007e+02	8.7269240618e-01	7.9947680235e-01	7.7424550056e-01
4.5822277832e+02	8.7362623215e-01	7.9927951097e-01	7.7184748650e-01
4.5864248657e+02	8.7452077866e-01	7.9889619350e-01	7.7126783133e-01
4.5906219482e+02	8.7537676096e-01	7.9851418734e-01	7.7176535130e-01
4.5948190308e+02	8.7619495392e-01	7.9831933975e-01	7.7135270834e-01
4.5990161133e+02	8.7697595358e-01	7.9807215929e-01	7.7168643475e-01
4.6032131958e+02	8.7772047520e-01	7.9661434889e-01	7.6956284046e-01
4.6074102783e+02	8.7842905521e-01	7.9571872950e-01	7.7058863640e-01
4.6116073608e+02	8.7910240889e-01	7.9656237364e-01	7.6930743456e-01
4.6158044434e+02	8.7974095345e-01	7.9604637623e-01	7.6859629154e-01
4.6200015259e+02	8.8034534454e-01	7.9502546787e-01	7.6647502184e-01
4.6241986084e+02	8.8091593981e-01	7.9448908567e-01	7.6587826014e-01
4.6283956909e+02	8.8145327568e-01	7.9500257969e-01	7.6632684469e-01
4.6325927734e+02	8.8195776939e-01	7.9416459799e-01	7.6472604275e-01
4.6367901611e+02	8.8242983818e-01	7.9458355904e-01	7.6546299458e-01
4.6409872437e+02	8.8286978006e-01	7.9371702671e-01	7.6264661551e-01
4.6451843262e+02	8.8327807188e-01	7.9356533289e-01	7.6378458738e-01
4.6493814087e+02	8.8365495205e-01	7.9324007034e-01	7.6144152880e-01
4.6535784912e+02	8.8400071859e-01	7.9118287563e-01	7.6037228107e-01
4.6577755737e+02	8.8431572914e-01	7.9071408510e-01	7.5949996710e-01
4.6619726562e+02	8.8460010290e-01	7.9027396441e-01	7.6124411821e-01
4.6661697388e+02	8.8485419750e-01	7.8925174475e-01	7.5904190540e-01
4.6703668213e+02	8.8507807255e-01	7.8929847479e-01	7.6146608591e-01
