wavelength_nm	final_result_transmittance	cst_average_transmittance
4.9054040527e+02	9.5527750254e-01	9.5566712245e-01
4.9096011353e+02	9.5549166203e-01	9.5587586552e-01
4.9137982178e+02	9.5590430498e-01	9.5608125113e-01
4.9179953003e+02	9.5563358068e-01	9.5628325724e-01
4.9221923828e+02	9.5616316795e-01	9.5648146125e-01
4.9263894653e+02	9.5632791519e-01	9.5667640523e-01
4.9305865479e+02	9.5643103123e-01	9.5686812032e-01
4.9347836304e+02	9.5702689886e-01	9.5705658275e-01
4.9389807129e+02	9.5709067583e-01	9.5724142150e-01
4.9431777954e+02	9.5716267824e-01	9.5742314183e-01
4.9473748779e+02	9.5749455690e-01	9.5760177853e-01
4.9515719604e+02	9.5783787966e-01	9.5777736711e-01
4.9557690430e+02	9.5810478926e-01	9.5794947312e-01
4.9599664307e+02	9.5815885067e-01	9.5811862034e-01
4.9641635132e+02	9.5837765932e-01	9.5828482996e-01
4.9683605957e+02	9.5882713795e-01	9.5844815241e-01
4.9725576782e+02	9.5899266005e-01	9.5860831623e-01
4.9767547607e+02	9.5889246464e-01	9.5876555039e-01
4.9809518433e+02	9.5916843414e-01	9.5892002656e-01
4.9851489258e+02	9.5939147472e-01	9.5907178421e-01
4.9893460083e+02	9.5976716280e-01	9.5922076187e-01
4.9935430908e+02	9.5958787203e-01	9.5936680725e-01
4.9977401733e+02	9.5960766077e-01	9.5951026590e-01
5.0019372559e+02	9.5977663994e-01	9.5965117768e-01
5.0061343384e+02	9.6018791199e-01	9.5978958240e-01
5.0103314209e+02	9.6009629965e-01	9.5992530225e-01
5.0145285034e+02	9.6051526070e-01	9.6005846263e-01
5.0187255859e+02	9.6073150635e-01	9.6018924633e-01
5.0229226685e+02	9.6082484722e-01	9.6031769232e-01
5.0271197510e+02	9.6086126566e-01	9.6044383928e-01
5.0313168335e+02	9.6162456274e-01	9.6056748956e-01
5.0355139160e+02	9.6145057678e-01	9.6068884519e-01
5.0397109985e+02	9.6169185638e-01	9.6080802644e-01
5.0439080811e+02	9.6173739433e-01	9.6092507021e-01
5.0481051636e+02	9.6207964420e-01	9.6104001292e-01
5.0523022461e+02	9.6211701632e-01	9.6115271409e-01
5.0564993286e+02	9.6211206913e-01	9.6126329081e-01
5.0606964111e+02	9.6239817142e-01	9.6137188239e-01
5.0648937988e+02	9.6229076385e-01	9.6147853057e-01
5.0690908813e+02	9.6241891384e-01	9.6158325335e-01
5.0732879639e+02	9.6266144514e-01	9.6168603442e-01
5.0774850464e+02	9.6269053221e-01	9.6178678113e-01
5.0816821289e+02	9.6255898476e-01	9.6188571583e-01
5.0858792114e+02	9.6245151758e-01	9.6198286943e-01
5.0900762939e+02	9.6262931824e-01	9.6207827221e-01
5.0942733765e+02	9.6264356375e-01	9.6217195387e-01
5.0984704590e+02	9.6253502369e-01	9.6226383921e-01
5.1026675415e+02	9.6286112070e-01	9.6235396176e-01
5.1068646240e+02	9.6271735430e-01	9.6244245622e-01
5.1110617065e+02	9.6288102865e-01	9.6252934977e-01
5.1152587891e+02	9.6308386326e-01	9.6261466906e-01
5.1194558716e+02	9.6292942762e-01	9.6269844023e-01
5.1236529541e+02	9.6326535940e-01	9.6278062437e-01
5.1278503418e+02	9.6327000856e-01	9.6286120727e-01
5.1320471191e+02	9.6327066422e-01	9.6294031220e-01
5.1362445068e+02	9.6362155676e-01	9.6301798599e-01
5.1404412842e+02	9.6375775337e-01	9.6309422974e-01
5.1446386719e+02	9.6397900581e-01	9.6316908862e-01
5.1488354492e+02	9.6404814720e-01	9.6324256366e-01
5.1530328369e+02	9.6408891678e-01	9.6331458975e-01
5.1572296143e+02	9.6437597275e-01	9.6338524165e-01
5.1614270020e+02	9.6456772089e-01	9.6345460185e-01
5.1656237793e+02	9.6457690001e-01	9.6352267137e-01
5.1698211670e+02	9.6454071999e-01	9.6358949080e-01
5.1740179443e+02	9.6465963125e-01	9.6365506124e-01
5.1782153320e+02	9.6469050646e-01	9.6371942202e-01
