wavelength_nm	ideal_target_transmittance	tandem_response_transmittance
5.1866093850e+02	9.4126754999e-01	7.4164223671e-01
5.1908064795e+02	9.4091296196e-01	7.4115478992e-01
5.1950035739e+02	9.4054907560e-01	7.4133229256e-01
5.1992006683e+02	9.4017559290e-01	7.4168163538e-01
5.2033977627e+02	9.3979239464e-01	7.4285477400e-01
5.2075948571e+02	9.3939936161e-01	7.4184936285e-01
5.2117919515e+02	9.3899631500e-01	7.4296206236e-01
5.2159890459e+02	9.3858295679e-01	7.4199271202e-01
5.2201861403e+02	9.3815922737e-01	7.4341690540e-01
5.2243832347e+02	9.3772488832e-01	7.4294096231e-01
5.2285803292e+02	9.3727970123e-01	7.4287402630e-01
5.2327774236e+02	9.3682354689e-01	7.4343496561e-01
5.2369745180e+02	9.3635612726e-01	7.4186331034e-01
5.2411716124e+02	9.3587720394e-01	7.4311411381e-01
5.2453687068e+02	9.3538665771e-01	7.4203109741e-01
5.2495658012e+02	9.3488413095e-01	7.4406725168e-01
5.2537628956e+02	9.3436944485e-01	7.4419444799e-01
5.2579599900e+02	9.3384236097e-01	7.4400418997e-01
5.2621570845e+02	9.3330258131e-01	7.4332523346e-01
5.2663541789e+02	9.3274992704e-01	7.4209332466e-01
5.2705512733e+02	9.3218398094e-01	7.4336421490e-01
5.2747483677e+02	9.3160450459e-01	7.4326837063e-01
5.2789454621e+02	9.3101125956e-01	7.4348479509e-01
5.2831425565e+02	9.3040394783e-01	7.4177229404e-01
5.2873396509e+02	9.2978215218e-01	7.4299734831e-01
5.2915367453e+02	9.2914563417e-01	7.4451816082e-01
5.2957338398e+02	9.2849403620e-01	7.4295848608e-01
5.2999309342e+02	9.2782700062e-01	7.4358820915e-01
5.3041280286e+02	9.2714422941e-01	7.4362450838e-01
5.3083251230e+02	9.2644530535e-01	7.4437105656e-01
5.3125222174e+02	9.2572981119e-01	7.4441158772e-01
5.3167193118e+02	9.2499738932e-01	7.4509257078e-01
5.3209164062e+02	9.2424768209e-01	7.4617707729e-01
5.3251135006e+02	9.2348015308e-01	7.4604040384e-01
5.3293105950e+02	9.2269450426e-01	7.4708205462e-01
5.3335076895e+02	9.2189019918e-01	7.4804902077e-01
5.3377047839e+02	9.2106682062e-01	7.4887949228e-01
5.3419018783e+02	9.2022383213e-01	7.4949622154e-01
5.3460989727e+02	9.1936075687e-01	7.4914431572e-01
5.3502960671e+02	9.1847711802e-01	7.4988770485e-01
5.3544931615e+02	9.1757237911e-01	7.5029438734e-01
5.3586902559e+02	9.1664594412e-01	7.5054627657e-01
5.3628873503e+02	9.1569733620e-01	7.5126659870e-01
5.3670844448e+02	9.1472589970e-01	7.5219947100e-01
5.3712815392e+02	9.1373103857e-01	7.5161254406e-01
5.3754786336e+02	9.1271209717e-01	7.5063592196e-01
5.3796757280e+02	9.1166847944e-01	7.5098371506e-01
5.3838728224e+02	9.1059947014e-01	7.5027465820e-01
5.3880699168e+02	9.0950441360e-01	7.5028353930e-01
5.3922670112e+02	9.0838259459e-01	7.4931490421e-01
5.3964641056e+02	9.0723323822e-01	7.4883162975e-01
5.4006612001e+02	9.0605556965e-01	7.4757635593e-01
5.4048582945e+02	9.0484881401e-01	7.4619197845e-01
5.4090553889e+02	9.0361207724e-01	7.4456602335e-01
5.4132524833e+02	9.0234458447e-01	7.4307024479e-01
5.4174495777e+02	9.0104544163e-01	7.4243748188e-01
