wavelength_nm	final_result_transmittance	cst_average_transmittance
4.9221924371e+02	7.7358733495e-01	7.8068598111e-01
4.9263895315e+02	7.7272657895e-01	7.8038430214e-01
4.9305866259e+02	7.7168357673e-01	7.8008786837e-01
4.9347837203e+02	7.7184527431e-01	7.7979683876e-01
4.9389808147e+02	7.7152751037e-01	7.7951204777e-01
4.9431779091e+02	7.7076936642e-01	7.7923278014e-01
4.9473750036e+02	7.7109198578e-01	7.7895909548e-01
4.9515720980e+02	7.7069645686e-01	7.7869111300e-01
4.9557691924e+02	7.7056399448e-01	7.7842974663e-01
4.9599662868e+02	7.6985600038e-01	7.7817420165e-01
4.9641633812e+02	7.7000408899e-01	7.7792447805e-01
4.9683604756e+02	7.6943643525e-01	7.7768065532e-01
4.9725575700e+02	7.6879377829e-01	7.7744338910e-01
4.9767546644e+02	7.6845825488e-01	7.7721234163e-01
4.9809517589e+02	7.6867705144e-01	7.7698729436e-01
4.9851488533e+02	7.6818943867e-01	7.7676816781e-01
4.9893459477e+02	7.6835810894e-01	7.7655527989e-01
4.9935430421e+02	7.6811486765e-01	7.7634900808e-01
4.9977401365e+02	7.6791906529e-01	7.7614873648e-01
5.0019372309e+02	7.6719934177e-01	7.7595442533e-01
5.0061343253e+02	7.6743864938e-01	7.7576603492e-01
5.0103314197e+02	7.6768738024e-01	7.7558410168e-01
5.0145285141e+02	7.6713913790e-01	7.7540838718e-01
5.0187256086e+02	7.6757305869e-01	7.7523851395e-01
5.0229227030e+02	7.6758879292e-01	7.7507444223e-01
5.0271197974e+02	7.6742983119e-01	7.7491613229e-01
5.0313168918e+02	7.6766084610e-01	7.7476414045e-01
5.0355139862e+02	7.6693010168e-01	7.7461800973e-01
5.0397110806e+02	7.6683324658e-01	7.7447746197e-01
5.0439081750e+02	7.6687561439e-01	7.7434243759e-01
5.0481052694e+02	7.6641679947e-01	7.7421285709e-01
5.0523023639e+02	7.6686755805e-01	7.7408917745e-01
5.0564994583e+02	7.6615537892e-01	7.7397102118e-01
5.0606965527e+02	7.6669892953e-01	7.7385811011e-01
5.0648936471e+02	7.6589980630e-01	7.7375032504e-01
5.0690907415e+02	7.6609640659e-01	7.7364760637e-01
5.0732878359e+02	7.6609778400e-01	7.7355001370e-01
5.0774849303e+02	7.6518329527e-01	7.7345776558e-01
5.0816820247e+02	7.6496005612e-01	7.7337030570e-01
5.0858791192e+02	7.6481312836e-01	7.7328749498e-01
5.0900762136e+02	7.6477849549e-01	7.7320921421e-01
5.0942733080e+02	7.6544915535e-01	7.7313544353e-01
5.0984704024e+02	7.6456065185e-01	7.7306628227e-01
5.1026674968e+02	7.6563738630e-01	7.7300163110e-01
5.1068645912e+02	7.6532531029e-01	7.7294111252e-01
5.1110616856e+02	7.6471132345e-01	7.7288458745e-01
5.1152587800e+02	7.6499897180e-01	7.7283195655e-01
5.1194558744e+02	7.6569634660e-01	7.7278310061e-01
5.1236529689e+02	7.6545804921e-01	7.7273805936e-01
5.1278500633e+02	7.6597663299e-01	7.7269683282e-01
5.1320471577e+02	7.6494932737e-01	7.7265900373e-01
5.1362442521e+02	7.6556047068e-01	7.7262445291e-01
5.1404413465e+02	7.6554138031e-01	7.7259308100e-01
5.1446384409e+02	7.6592085658e-01	7.7256472905e-01
5.1488355353e+02	7.6544338727e-01	7.7253929774e-01
5.1530326297e+02	7.6557087269e-01	7.7251686653e-01
5.1572297242e+02	7.6566923081e-01	7.7249717712e-01
5.1614268186e+02	7.6582818528e-01	7.7247999112e-01
5.1656239130e+02	7.6662292856e-01	7.7246520917e-01
5.1698210074e+02	7.6561788566e-01	7.7245267232e-01
5.1740181018e+02	7.6529536364e-01	7.7244232098e-01
5.1782151962e+02	7.6627936756e-01	7.7243395646e-01
5.1824122906e+02	7.6566055964e-01	7.7242755890e-01
5.1866093850e+02	7.6509715631e-01	7.7242304881e-01
5.1908064795e+02	7.6494111490e-01	7.7242012819e-01
5.1950035739e+02	7.6532160436e-01	7.7241869768e-01
