case_index	case_tag	target_low_nm	target_high_nm	candidate_index	condition_order_code	valid	peak1_wavelength_nm	peak2_wavelength_nm	peak1_signed_error_nm	peak2_signed_error_nm	maximum_absolute_error_nm	peak1_transmittance	peak2_transmittance	worst_valley_transmittance	peak1_fwhm_nm	peak2_fwhm_nm	widest_fwhm_nm	peak1_prominence	peak2_prominence	minimum_prominence	valley_transmittance_imbalance	peak1_fwhm_to_ideal_ratio	peak2_fwhm_to_ideal_ratio	shape_gate_passed	shape_minimax_score	inside_position_window	selected
3	430_510	4.3000000000e+02	5.1000000000e+02	6	0	1	4.2926282753e+02	5.0564994583e+02	-7.3717247173e-01	-4.3500541733e+00	4.3500541733e+00	1.6617742181e-01	2.1423436701e-01	2.1423436701e-01	1.8554374124e+01	1.7839403828e+01	1.8554374124e+01	7.9309037328e-01	7.1660946310e-01	7.1660946310e-01	4.8056945205e-02	6.5574207238e-01	7.2991828247e-01	1	1.0711718351e+00	1	0
3	430_510	4.3000000000e+02	5.1000000000e+02	7	0	1	4.2926282753e+02	5.0481052694e+02	-7.3717247173e-01	-5.1894730557e+00	5.1894730557e+00	2.0637629926e-01	2.2498850524e-01	2.2498850524e-01	1.7793964815e+01	1.6979505523e+01	1.7793964815e+01	7.5686039031e-01	7.0939446986e-01	7.0939446986e-01	1.8612205982e-02	6.2886795781e-01	6.9473462384e-01	1	1.1249425262e+00	1	0
3	430_510	4.3000000000e+02	5.1000000000e+02	8	0	1	4.2926282753e+02	5.0439081750e+02	-7.3717247173e-01	-5.6091824969e+00	5.6091824969e+00	3.7719878554e-01	4.3116366863e-01	4.3116366863e-01	1.6367202109e+01	1.4067957993e+01	1.6367202109e+01	5.9026637673e-01	5.2002453804e-01	5.2002453804e-01	5.3964883089e-02	5.7844381913e-01	5.7560554350e-01	0	2.1558183432e+00	0	0
3	430_510	4.3000000000e+02	5.1000000000e+02	9	0	1	4.2926282753e+02	5.0439081750e+02	-7.3717247173e-01	-5.6091824969e+00	5.6091824969e+00	3.7784683704e-01	4.0690436959e-01	4.0690436959e-01	1.7058753664e+01	1.3981759839e+01	1.7058753664e+01	5.9404397011e-01	5.4732927680e-01	5.4732927680e-01	2.9057532549e-02	6.0288438754e-01	5.7207865386e-01	0	2.0345218480e+00	0	0
3	430_510	4.3000000000e+02	5.1000000000e+02	10	1	1	4.3052195585e+02	5.0690907415e+02	5.2195585187e-01	-3.0909258497e+00	3.0909258497e+00	3.7857986987e-02	5.3169574589e-02	5.3169574589e-02	2.9565469180e+01	2.9002180907e+01	2.9565469180e+01	8.9297559112e-01	7.4220958725e-01	7.4220958725e-01	1.5311587602e-02	1.0448922664e+00	1.1866552425e+00	1	6.7366416251e-01	1	0
3	430_510	4.3000000000e+02	5.1000000000e+02	11	1	1	4.2926282753e+02	5.0481052694e+02	-7.3717247173e-01	-5.1894730557e+00	5.1894730557e+00	2.3727922142e-01	2.5219917297e-01	2.5219917297e-01	1.7562072075e+01	1.6370147839e+01	1.7562072075e+01	7.2715862095e-01	6.8491065502e-01	6.8491065502e-01	1.4919951558e-02	6.2067248728e-01	6.6980210267e-01	1	1.2609958649e+00	1	0
3	430_510	4.3000000000e+02	5.1000000000e+02	12	1	1	4.3010224641e+02	5.0606965527e+02	1.0224641067e-01	-3.9303447321e+00	3.9303447321e+00	5.7526864111e-02	3.7235155702e-02	5.7526864111e-02	2.3332948349e+01	2.9632050956e+01	2.9632050956e+01	7.7532740682e-01	9.0852384269e-01	7.7532740682e-01	2.0291708410e-02	8.2462473823e-01	1.2124270490e+00	1	6.4488885031e-01	1	0
3	430_510	4.3000000000e+02	5.1000000000e+02	13	1	1	4.2926282753e+02	5.0481052694e+02	-7.3717247173e-01	-5.1894730557e+00	5.1894730557e+00	2.7821898460e-01	2.5179374218e-01	2.7821898460e-01	1.7315233172e+01	1.6821651837e+01	1.7315233172e+01	6.6144651175e-01	7.1362042427e-01	6.6144651175e-01	2.6425242424e-02	6.1194879482e-01	6.8827587153e-01	1	1.3910949230e+00	1	0
3	430_510	4.3000000000e+02	5.1000000000e+02	14	1	1	4.3010224641e+02	5.0564994583e+02	1.0224641067e-01	-4.3500541733e+00	4.3500541733e+00	9.8607428372e-02	1.0209100693e-01	1.0209100693e-01	2.1951928925e+01	2.1901070500e+01	2.1951928925e+01	8.5473512858e-01	7.9572928697e-01	7.9572928697e-01	3.4835785627e-03	7.7581724233e-01	8.9610571731e-01	1	6.4052216478e-01	1	0
3	430_510	4.3000000000e+02	5.1000000000e+02	15	1	1	4.3010224641e+02	5.0690907415e+02	1.0224641067e-01	-3.0909258497e+00	3.0909258497e+00	4.7779295594e-02	8.3978183568e-02	8.3978183568e-02	2.7573989112e+01	2.8150897782e+01	2.8150897782e+01	8.8439651951e-01	7.4518179148e-01	7.4518179148e-01	3.6198887974e-02	9.7451008820e-01	1.1518240832e+00	1	6.7097721081e-01	1	0
