wavelength_nm	current_final_result_transmittance	nearest_dataset_average_transmittance	nearest_neighbor_tandem_result_transmittance
4.4227382021e+02	8.4523685926e-01	9.0077275038e-01	8.9738768339e-01
4.4269352965e+02	8.4752671869e-01	9.0190172195e-01	8.9878815413e-01
4.4311323909e+02	8.4952652868e-01	9.0299946070e-01	9.0001386404e-01
4.4353294853e+02	8.5186004788e-01	9.0406924486e-01	9.0119677782e-01
4.4395265797e+02	8.5353948937e-01	9.0510576963e-01	9.0263348818e-01
4.4437236741e+02	8.5574598834e-01	9.0611475706e-01	9.0334314108e-01
4.4479207685e+02	8.5719928741e-01	9.0709161758e-01	9.0463668108e-01
4.4521178629e+02	8.5876593848e-01	9.0804213285e-01	9.0534645319e-01
4.4563149574e+02	8.6010150668e-01	9.0896391869e-01	9.0627038479e-01
4.4605120518e+02	8.6218266031e-01	9.0986138582e-01	9.0686231852e-01
4.4647091462e+02	8.6364870519e-01	9.1073459387e-01	9.0864008665e-01
4.4689062406e+02	8.6500203305e-01	9.1158658266e-01	9.0883523226e-01
4.4731033350e+02	8.6860889187e-01	9.1241884232e-01	9.0976613760e-01
4.4773004294e+02	8.6846054118e-01	9.1323351860e-01	9.1025996208e-01
4.4814975238e+02	8.6996854214e-01	9.1403245926e-01	9.1122716665e-01
4.4856946182e+02	8.7134785655e-01	9.1481709480e-01	9.1181772947e-01
4.4898917126e+02	8.7266327563e-01	9.1558915377e-01	9.1269302368e-01
4.4940888071e+02	8.7401475469e-01	9.1634958982e-01	9.1360759735e-01
4.4982859015e+02	8.7533351538e-01	9.1709947586e-01	9.1450965405e-01
4.5024829959e+02	8.7688985358e-01	9.1783946753e-01	9.1534662247e-01
4.5066800903e+02	8.7829604920e-01	9.1857028008e-01	9.1648018360e-01
4.5108771847e+02	8.7965289163e-01	9.1929197311e-01	9.1758477688e-01
4.5150742791e+02	8.8095018437e-01	9.2000514269e-01	9.1829615831e-01
4.5192713735e+02	8.8203893634e-01	9.2070966959e-01	9.1942346096e-01
4.5234684679e+02	8.8345623320e-01	9.2140561342e-01	9.2027562857e-01
4.5276655624e+02	8.8526761103e-01	9.2209321260e-01	9.2128545046e-01
4.5318626568e+02	8.8649525234e-01	9.2277216911e-01	9.2173409462e-01
4.5360597512e+02	8.8814337140e-01	9.2344278097e-01	9.2273938656e-01
4.5402568456e+02	8.8892880958e-01	9.2410445213e-01	9.2302477360e-01
4.5444539400e+02	8.9010653060e-01	9.2475795746e-01	9.2436331511e-01
4.5486510344e+02	8.9242405768e-01	9.2540234327e-01	9.2499506474e-01
4.5528481288e+02	8.9388796989e-01	9.2603874207e-01	9.2593991756e-01
4.5570452232e+02	8.9539847424e-01	9.2666584253e-01	9.2665117979e-01
4.5612423177e+02	8.9652292502e-01	9.2728525400e-01	9.2755389214e-01
4.5654394121e+02	8.9789007757e-01	9.2789536715e-01	9.2853623629e-01
4.5696365065e+02	8.9886718310e-01	9.2849802971e-01	9.2924618721e-01
4.5738336009e+02	8.9982193314e-01	9.2909187078e-01	9.2976069450e-01
4.5780306953e+02	9.0072482708e-01	9.2967820168e-01	9.3034458160e-01
4.5822277897e+02	9.0174216232e-01	9.3025642633e-01	9.3079310656e-01
4.5864248841e+02	9.0303373316e-01	9.3082696199e-01	9.3151104450e-01
4.5906219785e+02	9.0298539085e-01	9.3139034510e-01	9.3148857355e-01
4.5948190729e+02	9.0254945093e-01	9.3194597960e-01	9.3111008406e-01
4.5990161674e+02	9.0307702324e-01	9.3249511719e-01	9.3127387762e-01
4.6032132618e+02	9.0438891275e-01	9.3303656578e-01	9.3193179369e-01
4.6074103562e+02	9.0490920740e-01	9.3357181549e-01	9.3239587545e-01
4.6116074506e+02	9.0565728905e-01	9.3410015106e-01	9.3294942379e-01
4.6158045450e+02	9.0554695068e-01	9.3462228775e-01	9.3306601048e-01
4.6200016394e+02	9.0749122541e-01	9.3513822556e-01	9.3438410759e-01
4.6241987338e+02	9.0816733365e-01	9.3564790487e-01	9.3463855982e-01
4.6283958282e+02	9.0920582198e-01	9.3615204096e-01	9.3522924185e-01
4.6325929227e+02	9.1005089616e-01	9.3664979935e-01	9.3567353487e-01
4.6367900171e+02	9.1081497431e-01	9.3714219332e-01	9.3621510267e-01
4.6409871115e+02	9.1172638645e-01	9.3762892485e-01	9.3663918972e-01
4.6451842059e+02	9.1264859179e-01	9.3811005354e-01	9.3707573414e-01
4.6493813003e+02	9.1342721359e-01	9.3858605623e-01	9.3756699562e-01
4.6535783947e+02	9.1447637053e-01	9.3905639648e-01	9.3819230795e-01
4.6577754891e+02	9.1549722283e-01	9.3952178955e-01	9.3867260218e-01
4.6619725835e+02	9.1663048690e-01	9.3998175859e-01	9.3932521343e-01
4.6661696780e+02	9.1719864975e-01	9.4043678045e-01	9.3958383799e-01
4.6703667724e+02	9.1840551877e-01	9.4088679552e-01	9.4027078152e-01
4.6745638668e+02	9.1909586774e-01	9.4133138657e-01	9.4069182873e-01
4.6787609612e+02	9.1974621622e-01	9.4177126884e-01	9.4112133980e-01
4.6829580556e+02	9.1996079616e-01	9.4220608473e-01	9.4149452448e-01
4.6871551500e+02	9.2161554043e-01	9.4263577461e-01	9.4212633371e-01
4.6913522444e+02	9.2177462828e-01	9.4306093454e-01	9.4264507294e-01
4.6955493388e+02	9.2277277018e-01	9.4348055124e-01	9.4339179993e-01
4.6997464332e+02	9.2371166181e-01	9.4389563799e-01	9.4366371632e-01
4.7039435277e+02	9.2423588534e-01	9.4430583715e-01	9.4423133135e-01
4.7081406221e+02	9.2468691670e-01	9.4471073151e-01	9.4460463524e-01
4.7123377165e+02	9.2526377455e-01	9.4511109591e-01	9.4503724575e-01
4.7165348109e+02	9.2598832034e-01	9.4550639391e-01	9.4560569525e-01
4.7207319053e+02	9.2618300060e-01	9.4589662552e-01	9.4587981701e-01
4.7249289997e+02	9.2686713645e-01	9.4628238678e-01	9.4621890783e-01
4.7291260941e+02	9.2722548355e-01	9.4666272402e-01	9.4672614336e-01
4.7333231885e+02	9.2768999646e-01	9.4703835249e-01	9.4712913036e-01
4.7375202830e+02	9.2856295737e-01	9.4740921259e-01	9.4763606787e-01
4.7417173774e+02	9.2910341453e-01	9.4777464867e-01	9.4794833660e-01
4.7459144718e+02	9.2967097058e-01	9.4813537598e-01	9.4845461845e-01
4.7501115662e+02	9.3005894431e-01	9.4849151373e-01	9.4894003868e-01
4.7543086606e+02	9.3054364769e-01	9.4884204865e-01	9.4912934303e-01
4.7585057550e+02	9.3089102835e-01	9.4918805361e-01	9.4968003035e-01
4.7627028494e+02	9.3143414254e-01	9.4952917099e-01	9.4988799095e-01
4.7668999438e+02	9.3226371604e-01	9.4986504316e-01	9.5068234205e-01
4.7710970383e+02	9.3267356679e-01	9.5019608736e-01	9.5091784000e-01
4.7752941327e+02	9.3298029485e-01	9.5052242279e-01	9.5114004612e-01
4.7794912271e+02	9.3351977487e-01	9.5084333420e-01	9.5150047541e-01
4.7836883215e+02	9.3387096844e-01	9.5115965605e-01	9.5186710358e-01
4.7878854159e+02	9.3446349800e-01	9.5147114992e-01	9.5234358311e-01
4.7920825103e+02	9.3484705603e-01	9.5177721977e-01	9.5262801647e-01
4.7962796047e+02	9.3529462834e-01	9.5207881927e-01	9.5278006792e-01
4.8004766991e+02	9.3560904410e-01	9.5237565041e-01	9.5310705900e-01
4.8046737935e+02	9.3603009251e-01	9.5266705751e-01	9.5342588425e-01
4.8088708880e+02	9.3645090430e-01	9.5295387506e-01	9.5366716385e-01
4.8130679824e+02	9.3706888528e-01	9.5323616266e-01	9.5383447409e-01
4.8172650768e+02	9.3754309998e-01	9.5351296663e-01	9.5401662588e-01
4.8214621712e+02	9.3793613704e-01	9.5378535986e-01	9.5425307751e-01
4.8256592656e+02	9.3849487041e-01	9.5405316353e-01	9.5471304655e-01
4.8298563600e+02	9.3894816440e-01	9.5431584120e-01	9.5505517721e-01
4.8340534544e+02	9.3937488448e-01	9.5457381010e-01	9.5538586378e-01
4.8382505488e+02	9.4015444644e-01	9.5482730865e-01	9.5566046238e-01
4.8424476433e+02	9.4060964206e-01	9.5507603884e-01	9.5596158504e-01
4.8466447377e+02	9.4086571383e-01	9.5531988144e-01	9.5623904467e-01
4.8508418321e+02	9.4139538328e-01	9.5555931330e-01	9.5675832033e-01
4.8550389265e+02	9.4197956815e-01	9.5579439402e-01	9.5699852705e-01
4.8592360209e+02	9.4240592649e-01	9.5602446795e-01	9.5725989342e-01
4.8634331153e+02	9.4315920247e-01	9.5625025034e-01	9.5759916306e-01
