wavelength_nm	final_network_transmittance	nearest_simulation_transmittance
4.3849643523e+02	2.5820034742e-01	2.0326951797e-01
4.3891614468e+02	2.4259643257e-01	1.8903862439e-01
4.3933585412e+02	2.2688001394e-01	1.7489859736e-01
4.3975556356e+02	2.1143072844e-01	1.6093141282e-01
4.4017527300e+02	1.9642105699e-01	1.4729279278e-01
4.4059498244e+02	1.8189331889e-01	1.3405063740e-01
4.4101469188e+02	1.6807618737e-01	1.2140028510e-01
4.4143440132e+02	1.5500007570e-01	1.0942211206e-01
4.4185411076e+02	1.4275296032e-01	9.8275426452e-02
4.4227382021e+02	1.3145895302e-01	8.8085099435e-02
4.4269352965e+02	1.2110815942e-01	7.8900899036e-02
4.4311323909e+02	1.1190444976e-01	7.0893757203e-02
4.4353294853e+02	1.0394009948e-01	6.3957406764e-02
4.4395265797e+02	9.7757361829e-02	5.8293628758e-02
4.4437236741e+02	9.1692231596e-02	5.3668617826e-02
4.4479207685e+02	8.7964691222e-02	5.0224757498e-02
4.4521178629e+02	8.5639283061e-02	4.7735345031e-02
4.4563149574e+02	8.4259331226e-02	4.6263170471e-02
4.4605120518e+02	8.4855765104e-02	4.5668831006e-02
4.4647091462e+02	8.6552299559e-02	4.6005327317e-02
4.4689062406e+02	9.0271338820e-02	4.7257210927e-02
4.4731033350e+02	9.5376186073e-02	4.9530327846e-02
4.4773004294e+02	1.0228534788e-01	5.2947472348e-02
4.4814975238e+02	1.1081293225e-01	5.7702719906e-02
4.4856946182e+02	1.2231777608e-01	6.4213239876e-02
4.4898917126e+02	1.3493180275e-01	7.3056599175e-02
4.4940888071e+02	1.4966274798e-01	8.5011314153e-02
4.4982859015e+02	1.6664917767e-01	1.0019929703e-01
4.5024829959e+02	1.8591181934e-01	1.1868236244e-01
4.5066800903e+02	2.0667529106e-01	1.4020918485e-01
4.5108771847e+02	2.2915807366e-01	1.6469398410e-01
4.5150742791e+02	2.5348117948e-01	1.9172259877e-01
4.5192713735e+02	2.7852955461e-01	2.2084980712e-01
4.5234684679e+02	3.0321344733e-01	2.5144480336e-01
4.5276655624e+02	3.2754528522e-01	2.8280736224e-01
4.5318626568e+02	3.5063526034e-01	3.1427105874e-01
4.5360597512e+02	3.7247169018e-01	3.4519626139e-01
4.5402568456e+02	3.9298900962e-01	3.7502569419e-01
4.5444539400e+02	4.1158387065e-01	4.0343429405e-01
4.5486510344e+02	4.2853474617e-01	4.2999236428e-01
4.5528481288e+02	4.4341319799e-01	4.5476442058e-01
4.5570452232e+02	4.5655348897e-01	4.7738820609e-01
4.5612423177e+02	4.6805003285e-01	4.9824231998e-01
4.5654394121e+02	4.7781729698e-01	5.1699397471e-01
4.5696365065e+02	4.8632431030e-01	5.3413287834e-01
4.5738336009e+02	4.9361959100e-01	5.4950610695e-01
4.5780306953e+02	4.9972775578e-01	5.6344803847e-01
4.5822277897e+02	5.0730198622e-01	5.7599034623e-01
4.5864248841e+02	5.0906354189e-01	5.8730438096e-01
4.5906219785e+02	5.1413941383e-01	5.9754589661e-01
4.5948190729e+02	5.2197641134e-01	6.0674913103e-01
4.5990161674e+02	5.2622365952e-01	6.1514519258e-01
4.6032132618e+02	5.3104698658e-01	6.2266506013e-01
4.6074103562e+02	5.3589099646e-01	6.2954502403e-01
4.6116074506e+02	5.4096853733e-01	6.3575242660e-01
4.6158045450e+02	5.4565560818e-01	6.4140576213e-01
4.6200016394e+02	5.5014151335e-01	6.4654566830e-01
4.6241987338e+02	5.5470103025e-01	6.5119211380e-01
4.6283958282e+02	5.5898952484e-01	6.5544145212e-01
4.6325929227e+02	5.6288772821e-01	6.5924099723e-01
4.6367900171e+02	5.6656050682e-01	6.6269934419e-01
4.6409871115e+02	5.6971061230e-01	6.6579510817e-01
4.6451842059e+02	5.7253575325e-01	6.6855921633e-01
4.6493813003e+02	5.7516294718e-01	6.7102635356e-01
4.6535783947e+02	5.7743912935e-01	6.7316329412e-01
4.6577754891e+02	5.7940328121e-01	6.7503410557e-01
4.6619725835e+02	5.8103752136e-01	6.7661032571e-01
4.6661696780e+02	5.8231222630e-01	6.7791522411e-01
4.6703667724e+02	5.8329701424e-01	6.7896854988e-01
4.6745638668e+02	5.8386272192e-01	6.7973376181e-01
4.6787609612e+02	5.8402282000e-01	6.8026214356e-01
4.6829580556e+02	5.8387774229e-01	6.8052971649e-01
4.6871551500e+02	5.8323746920e-01	6.8054357786e-01
4.6913522444e+02	5.8226901293e-01	6.8032962457e-01
4.6955493388e+02	5.8108079433e-01	6.7984577817e-01
4.6997464332e+02	5.7960581779e-01	6.7913560390e-01
4.7039435277e+02	5.7791233063e-01	6.7819293239e-01
4.7081406221e+02	5.7610625029e-01	6.7699829752e-01
4.7123377165e+02	5.7423269749e-01	6.7558863592e-01
4.7165348109e+02	5.7191210985e-01	6.7394171832e-01
4.7207319053e+02	5.6959587336e-01	6.7206541017e-01
4.7249289997e+02	5.6689405441e-01	6.6998220107e-01
4.7291260941e+02	5.6331127882e-01	6.6766104989e-01
4.7333231885e+02	5.5997806787e-01	6.6513029081e-01
4.7375202830e+02	5.5669319630e-01	6.6240110831e-01
4.7417173774e+02	5.5386734009e-01	6.5943649109e-01
4.7459144718e+02	5.5062448978e-01	6.5627854113e-01
4.7501115662e+02	5.4685598612e-01	6.5292522822e-01
4.7543086606e+02	5.4382097721e-01	6.4934982869e-01
4.7585057550e+02	5.4017120600e-01	6.4558808004e-01
4.7627028494e+02	5.3538268805e-01	6.4163389468e-01
4.7668999438e+02	5.3104650974e-01	6.3746632729e-01
4.7710970383e+02	5.2652496099e-01	6.3311577528e-01
4.7752941327e+02	5.2192163467e-01	6.2857448487e-01
4.7794912271e+02	5.1697015762e-01	6.2382167634e-01
4.7836883215e+02	5.1204109192e-01	6.1888512106e-01
4.7878854159e+02	5.0679337978e-01	6.1375735968e-01
4.7920825103e+02	5.0117254257e-01	6.0841240623e-01
4.7962796047e+02	4.9550363421e-01	6.0287837034e-01
4.8004766991e+02	4.8956272006e-01	5.9715056738e-01
4.8046737935e+02	4.8347854614e-01	5.9119211587e-01
4.8088708880e+02	4.7729420662e-01	5.8503490499e-01
4.8130679824e+02	4.7111460567e-01	5.7867525125e-01
4.8172650768e+02	4.6499064565e-01	5.7207410637e-01
4.8214621712e+02	4.5850262046e-01	5.6525591422e-01
4.8256592656e+02	4.5192381740e-01	5.5822128609e-01
4.8298563600e+02	4.4505700469e-01	5.5093966583e-01
4.8340534544e+02	4.3793499470e-01	5.4341435367e-01
4.8382505488e+02	4.3113040924e-01	5.3565694106e-01
4.8424476433e+02	4.2365291715e-01	5.2765077683e-01
4.8466447377e+02	4.1646358371e-01	5.1936900868e-01
4.8508418321e+02	4.0885889530e-01	5.1083969722e-01
4.8550389265e+02	4.0128377080e-01	5.0205852015e-01
4.8592360209e+02	3.9349460602e-01	4.9298212071e-01
4.8634331153e+02	3.8563752174e-01	4.8363743457e-01
4.8676302097e+02	3.7761440873e-01	4.7402940127e-01
4.8718273041e+02	3.6956226826e-01	4.6414100057e-01
4.8760243986e+02	3.6134943366e-01	4.5395183927e-01
4.8802214930e+02	3.5339546204e-01	4.4349461045e-01
4.8844185874e+02	3.4521281719e-01	4.3276978186e-01
4.8886156818e+02	3.3522999287e-01	4.2174753834e-01
4.8928127762e+02	3.2960218191e-01	4.1044844828e-01
4.8970098706e+02	3.2160526514e-01	3.9889234319e-01
4.9012069650e+02	3.1542950869e-01	3.8708563807e-01
4.9054040594e+02	3.0958592892e-01	3.7499877941e-01
4.9096011538e+02	3.0295044184e-01	3.6268096158e-01
4.9137982483e+02	2.9679405689e-01	3.5014757942e-01
4.9179953427e+02	2.9094913602e-01	3.3741124877e-01
4.9221924371e+02	2.8518807888e-01	3.2446808781e-01
4.9263895315e+02	2.7975338697e-01	3.1136959502e-01
4.9305866259e+02	2.7444139123e-01	2.9813981608e-01
4.9347837203e+02	2.6902753115e-01	2.8480432572e-01
4.9389808147e+02	2.6341983676e-01	2.7138870294e-01
4.9431779091e+02	2.5776886940e-01	2.5794070597e-01
4.9473750036e+02	2.5209239125e-01	2.4449645507e-01
4.9515720980e+02	2.4623078108e-01	2.3109462538e-01
4.9557691924e+02	2.4004800618e-01	2.1779627599e-01
4.9599662868e+02	2.3356384039e-01	2.0463703081e-01
4.9641633812e+02	2.2673793137e-01	1.9166188894e-01
4.9683604756e+02	2.1941225231e-01	1.7891719826e-01
4.9725575700e+02	2.1213679016e-01	1.6648590439e-01
4.9767546644e+02	2.0482167602e-01	1.5440459474e-01
4.9809517589e+02	1.9725582004e-01	1.4270576593e-01
4.9851488533e+02	1.8965871632e-01	1.3143364211e-01
4.9893459477e+02	1.8219950795e-01	1.2064979938e-01
4.9935430421e+02	1.7499659956e-01	1.1043754823e-01
4.9977401365e+02	1.6778375208e-01	1.0077591545e-01
5.0019372309e+02	1.6078692675e-01	9.1694192730e-02
5.0061343253e+02	1.5382270515e-01	8.3216672711e-02
5.0103314197e+02	1.4709626138e-01	7.5419370737e-02
5.0145285141e+02	1.4078438282e-01	6.8296614895e-02
5.0187256086e+02	1.3482101262e-01	6.1817373010e-02
5.0229227030e+02	1.2928585708e-01	5.5981564821e-02
5.0271197974e+02	1.2428154796e-01	5.0783850562e-02
5.0313168918e+02	1.1975758523e-01	4.6279331978e-02
5.0355139862e+02	1.1591849476e-01	4.2407185192e-02
5.0397110806e+02	1.1308375001e-01	3.9126692659e-02
5.0439081750e+02	1.0987583548e-01	3.6418855351e-02
5.0481052694e+02	1.0664615035e-01	3.4264806566e-02
5.0523023639e+02	1.0778012127e-01	3.2692904800e-02
5.0564994583e+02	1.0696817935e-01	3.1668837898e-02
5.0606965527e+02	1.0874930024e-01	3.1159906757e-02
5.0648936471e+02	1.1100058258e-01	3.1168967283e-02
5.0690907415e+02	1.1341464520e-01	3.1709374769e-02
5.0732878359e+02	1.1846399307e-01	3.2825527322e-02
5.0774849303e+02	1.2318513542e-01	3.4607892614e-02
5.0816820247e+02	1.3010394573e-01	3.7060074945e-02
5.0858791192e+02	1.3820688426e-01	4.0259400338e-02
5.0900762136e+02	1.4795631170e-01	4.4299099175e-02
5.0942733080e+02	1.5974211693e-01	4.9286483577e-02
5.0984704024e+02	1.7379166186e-01	5.5414685135e-02
5.1026674968e+02	1.8901991844e-01	6.2827621590e-02
5.1068645912e+02	2.0585690439e-01	7.1576130773e-02
5.1110616856e+02	2.2413885593e-01	8.1766932634e-02
5.1152587800e+02	2.4361048639e-01	9.3484114845e-02
5.1194558744e+02	2.6407536864e-01	1.0677954624e-01
5.1236529689e+02	2.8556719422e-01	1.2173133209e-01
5.1278500633e+02	3.0770477653e-01	1.3834165098e-01
5.1320471577e+02	3.3011180162e-01	1.5639009793e-01
5.1362442521e+02	3.5287335515e-01	1.7573144478e-01
5.1404413465e+02	3.7546899915e-01	1.9618088789e-01
5.1446384409e+02	3.9794972539e-01	2.1752410190e-01
5.1488355353e+02	4.2022901773e-01	2.3952934903e-01
5.1530326297e+02	4.4200092554e-01	2.6197582792e-01
5.1572297242e+02	4.6322929859e-01	2.8458788505e-01
5.1614268186e+02	4.8373034596e-01	3.0714934094e-01
5.1656239130e+02	5.0356990099e-01	3.2948254647e-01
5.1698210074e+02	5.2279889584e-01	3.5144012369e-01
5.1740181018e+02	5.4047936201e-01	3.7290602120e-01
5.1782151962e+02	5.5744665861e-01	3.9379446432e-01
